"","Struc","error","time","ME"
"1","CS",0.0333,"T1 vs T0",0.0035166087097657
"2","CS",0.0511,"T2 vs T0",0.00431595337861752
"3","CS",0.053,"T3 vs T0",0.00439105620096122
"4","CS",0.0539,"T4 vs T0",0.00442607710353085
"5","CS",0.0547,"T7 vs T0",0.00445691717508863
"6","CS",0.0548,"T14 vs T0",0.0044607533168289
"7","CS",0.0559,"T28 vs T0",0.00450267886822945
"8","AR",0.0536,"T1 vs T0",0.00441444217159994
"9","AR",0.0545,"T2 vs T0",0.00444923237873681
"10","AR",0.0513,"T3 vs T0",0.00432393547241399
"11","AR",0.0502,"T4 vs T0",0.00427980530323518
"12","AR",0.0507,"T7 vs T0",0.00429993401828447
"13","AR",0.0513,"T14 vs T0",0.00432393547241399
"14","AR",0.0496,"T28 vs T0",0.00425549538061082
"15","Gaus",0.0526,"T1 vs T0",0.00437537855258262
"16","Gaus",0.0484,"T2 vs T0",0.0042063554474628
"17","Gaus",0.0486,"T3 vs T0",0.00421459433948275
"18","Gaus",0.0494,"T4 vs T0",0.00424735391772336
"19","Gaus",0.0508,"T7 vs T0",0.00430394578701916
"20","Gaus",0.0517,"T14 vs T0",0.00433984499465131
"21","Gaus",0.0501,"T28 vs T0",0.0042757654938502
